Address,Block,Block1,Coordinates,Fail,For_Address,Grid,Latitude,Longitude,Results,Zip,index,index1
"305 lexington pa n, Saint Paul, MN, 55104",3xx lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '305 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",107.0,44.9398043,-93.1463622,1.0,55105,,
"360 lexington pa n, Saint Paul, MN, 55104",36x lexington pa n,1.0,"{'formatted_address': '2850, 360 Lexington Pkwy S, St Paul, MN 55105, United States', 'latitude': 44.930939, 'longitude': -93.145747, 'zip': '55105', 'input_string': '360 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}",False,"2850, 360 Lexington Pkwy S, St Paul, MN 55105, United States",107.0,44.930939,-93.145747,2.0,55105,,
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,117.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '370 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",107.0,44.9398043,-93.1463622,1.0,55105,,
"400 lexington pa n, Saint Paul, MN, 55104",40x lexington pa n,7.0,"{'formatted_address': '451 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9547982, 'longitude': -93.14840400000001, 'zip': '55104', 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"451 Lexington Pkwy N, St Paul, MN 55104, USA",107.0,44.9547982,-93.14840400000001,1.0,55104,,
"405 lexington pa n, Saint Paul, MN, 55104",4xx lexington pa n,2.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '405 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",107.0,44.9398043,-93.1463622,1.0,55105,,
"420 lexington pa n, Saint Paul, MN, 55104",42x lexington pa n,1.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'zip': '55104', 'input_string': '420 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"474 Lexington Pkwy N, St Paul, MN 55104, USA",107.0,44.9553059,-93.1462304,1.0,55104,,
"430 lexington pa n, Saint Paul, MN, 55104",43x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '430 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",107.0,44.9398043,-93.1463622,2.0,55105,,
"440 lexington pa n, Saint Paul, MN, 55104",44x lexington pa n,30.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '440 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",107.0,44.9398043,-93.1463622,1.0,55105,,
"460 lexington pa n, Saint Paul, MN, 55104",46x lexington pa n,7.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'zip': '55104', 'input_string': '460 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"St Paul, MN 55104, USA",107.0,44.9516643,-93.16290629999999,1.0,55104,,
"470 lexington pa n, Saint Paul, MN, 55104",47x lexington pa n,28.0,"{'formatted_address': '470 Hamline Ave N, St Paul, MN 55104, USA', 'latitude': 44.9549815, 'longitude': -93.1563022, 'zip': '55104', 'input_string': '470 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",True,"470 Hamline Ave N, St Paul, MN 55104, USA",107.0,44.9549815,-93.1563022,1.0,55104,,
"480 lexington pa n, Saint Paul, MN, 55104",48x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'zip': '55105', 'input_string': '480 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}",False,"1096 Grand Ave, St Paul, MN 55105, USA",107.0,44.9398043,-93.1463622,1.0,55105,,
,25x victoria st n,,,True,"169 Victoria St, St Paul, MN 55104, USA",107.0,44.9463743,-93.1366808,,,68.0,68.0
