WardCode,PrecinctName,Precinct_Vote,Precinct_Register,Voting%,Projected_Weight,Actual_Weight,Representation%,H_Registered,H_Vote17,H_Density_Vote%,L_Registered,L_Vote17,L_Density_Vote%,H_Density%
1.0,Saint Paul W-1 P-1,639.0,1161,55.04,0.72,1.09,151.39,179,65.0,36.309999999999995,982,574.0,58.45,15.42
1.0,Saint Paul W-1 P-10,97.0,450,21.56,0.28,0.16999999999999998,60.71,69,14.0,20.29,381,83.0,21.78,15.329999999999998
1.0,Saint Paul W-1 P-11,293.0,1111,26.37,0.69,0.5,72.46000000000002,459,125.0,27.229999999999997,652,168.0,25.77,41.31
1.0,Saint Paul W-1 P-12,162.0,335,48.36,0.21,0.28,133.32999999999998,106,42.0,39.62,229,120.0,52.400000000000006,31.64
1.0,Saint Paul W-1 P-13,518.0,1150,45.04,0.7100000000000001,0.88,123.94,308,122.0,39.61,842,396.0,47.03,26.779999999999998
1.0,Saint Paul W-1 P-14,288.0,961,29.97,0.59,0.49,83.05,280,105.0,37.5,681,183.0,26.87,29.14
1.0,Saint Paul W-1 P-15,162.0,722,22.44,0.45,0.28,62.22,81,15.0,18.52,641,147.0,22.93,11.219999999999999
1.0,Saint Paul W-1 P-16,77.0,238,32.35,0.15,0.13,86.67,21,1.0,4.760000000000001,217,76.0,35.02,8.82
1.0,Saint Paul W-1 P-2,786.0,2159,36.41,1.34,1.34,100.0,721,149.0,20.669999999999998,1438,637.0,44.3,33.4
1.0,Saint Paul W-1 P-3,568.0,1844,30.8,1.14,0.97,85.09,179,17.0,9.5,1665,551.0,33.09,9.71
1.0,Saint Paul W-1 P-4,414.0,1350,30.67,0.83,0.7100000000000001,85.54,18,1.0,5.56,1332,413.0,31.009999999999998,1.3299999999999998
1.0,Saint Paul W-1 P-5,420.0,1324,31.72,0.8200000000000001,0.72,87.8,87,12.0,13.79,1237,408.0,32.98,6.569999999999999
1.0,Saint Paul W-1 P-6,1004.0,2717,36.95,1.68,1.71,101.79,284,58.0,20.419999999999998,2433,946.0,38.879999999999995,10.45
1.0,Saint Paul W-1 P-7,698.0,1481,47.13,0.92,1.1900000000000002,129.35000000000002,249,67.0,26.91,1232,631.0,51.22,16.81
1.0,Saint Paul W-1 P-8,821.0,2147,38.24,1.3299999999999998,1.4,105.26,1186,373.0,31.45,961,448.0,46.62,55.24
1.0,Saint Paul W-1 P-9,523.0,2270,23.04,1.4,0.89,63.57000000000001,271,38.0,14.02,1999,485.0,24.26,11.940000000000001
2.0,Saint Paul W-2 P-1,790.0,1598,49.44,0.99,1.35,136.36,298,83.0,27.85,1300,707.0,54.379999999999995,18.65
2.0,Saint Paul W-2 P-11,842.0,2864,29.4,1.77,1.44,81.36,2840,835.0,29.4,24,7.0,29.17,99.16
2.0,Saint Paul W-2 P-13,563.0,1533,36.73,0.95,0.96,101.05,367,101.0,27.52,1166,462.0,39.62,23.94
2.0,Saint Paul W-2 P-14,453.0,1698,26.68,1.05,0.77,73.33,84,10.0,11.899999999999999,1614,443.0,27.450000000000003,4.95
2.0,Saint Paul W-2 P-15,531.0,2674,19.86,1.65,0.91,55.15,364,62.0,17.03,2310,469.0,20.3,13.61
2.0,Saint Paul W-2 P-2,826.0,1700,48.59,1.05,1.41,134.29,280,103.0,36.79,1420,723.0,50.92,16.470000000000002
2.0,Saint Paul W-2 P-3,865.0,2619,33.03,1.62,1.47,90.74,579,96.0,16.580000000000002,2040,769.0,37.7,22.11
2.0,Saint Paul W-2 P-4,626.0,1548,40.44,0.96,1.0699999999999998,111.46,466,137.0,29.4,1082,489.0,45.190000000000005,30.099999999999998
2.0,Saint Paul W-2 P-5,894.0,2368,37.75,1.46,1.52,104.11,375,112.0,29.87,1993,782.0,39.24,15.840000000000002
2.0,Saint Paul W-2 P-6,209.0,614,34.04,0.38,0.36,94.74,452,156.0,34.510000000000005,162,53.0,32.72,73.61999999999999
2.0,Saint Paul W-2 P-7,747.0,2213,33.76,1.37,1.27,92.7,1123,320.0,28.499999999999996,1090,427.0,39.17,50.74999999999999
2.0,Saint Paul W-2 P-8,324.0,1233,26.28,0.76,0.5499999999999999,72.37,1028,229.0,22.28,205,95.0,46.339999999999996,83.37
2.0,Saint Paul W-2 P-9,700.0,2019,34.67,1.25,1.1900000000000002,95.2,1933,673.0,34.82,86,27.0,31.4,95.74000000000001
3.0,Saint Paul W-3 P-1,1212.0,2065,58.69,1.28,2.07,161.72,78,24.0,30.769999999999996,1987,1188.0,59.79,3.7800000000000002
3.0,Saint Paul W-3 P-10,854.0,1481,57.66,0.92,1.46,158.7,72,32.0,44.440000000000005,1409,822.0,58.34,4.859999999999999
3.0,Saint Paul W-3 P-11,489.0,1941,25.19,1.2,0.83,69.17,1374,390.0,28.38,567,99.0,17.46,70.78999999999999
3.0,Saint Paul W-3 P-12,975.0,1779,54.81,1.1,1.66,150.91000000000003,222,55.0,24.77,1557,920.0,59.089999999999996,12.479999999999999
3.0,Saint Paul W-3 P-13,972.0,1844,52.71,1.14,1.66,145.61,361,164.0,45.43,1483,808.0,54.48,19.580000000000002
3.0,Saint Paul W-3 P-14,1892.0,3590,52.7,2.22,3.2300000000000004,145.5,216,119.0,55.089999999999996,3374,1773.0,52.55,6.02
3.0,Saint Paul W-3 P-2,1368.0,2481,55.14,1.53,2.33,152.29,188,41.0,21.81,2293,1327.0,57.87,7.580000000000001
3.0,Saint Paul W-3 P-3,1309.0,2715,48.21,1.68,2.23,132.73999999999998,618,218.0,35.28,2097,1091.0,52.03,22.759999999999998
3.0,Saint Paul W-3 P-4,666.0,1325,50.26000000000001,0.8200000000000001,1.14,139.02,531,185.0,34.839999999999996,794,481.0,60.58,40.08
3.0,Saint Paul W-3 P-5,748.0,1930,38.76,1.1900000000000002,1.28,107.56,1065,333.0,31.269999999999996,865,415.0,47.980000000000004,55.17999999999999
3.0,Saint Paul W-3 P-6,1062.0,2129,49.88,1.32,1.81,137.12,200,55.0,27.500000000000004,1929,1007.0,52.2,9.39
3.0,Saint Paul W-3 P-7,525.0,1265,41.5,0.7799999999999999,0.8999999999999999,115.38,615,150.0,24.39,650,375.0,57.69,48.620000000000005
3.0,Saint Paul W-3 P-8,883.0,1599,55.22,0.99,1.51,152.53,84,16.0,19.05,1515,867.0,57.230000000000004,5.25
3.0,Saint Paul W-3 P-9,1277.0,2495,51.18000000000001,1.54,2.18,141.56,380,108.0,28.42,2115,1169.0,55.269999999999996,15.229999999999999
4.0,Saint Paul W-4 P-1,791.0,1621,48.8,1.0,1.35,135.0,290,80.0,27.589999999999996,1331,711.0,53.42,17.89
4.0,Saint Paul W-4 P-10,991.0,2025,48.94,1.25,1.69,135.20000000000002,182,65.0,35.709999999999994,1843,926.0,50.239999999999995,8.99
4.0,Saint Paul W-4 P-11,1025.0,2202,46.55,1.36,1.7500000000000002,128.68,371,81.0,21.83,1831,944.0,51.559999999999995,16.85
4.0,Saint Paul W-4 P-12,564.0,1703,33.12,1.05,0.96,91.43,1003,227.0,22.63,700,337.0,48.14,58.9
4.0,Saint Paul W-4 P-13,580.0,1488,38.98,0.92,0.99,107.61,338,82.0,24.26,1150,498.0,43.3,22.720000000000002
4.0,Saint Paul W-4 P-14,648.0,1444,44.88,0.89,1.1,123.6,60,3.0,5.0,1384,645.0,46.6,4.16
4.0,Saint Paul W-4 P-15,707.0,1531,46.18,0.95,1.21,127.37,124,18.0,14.52,1407,689.0,48.97,8.1
4.0,Saint Paul W-4 P-2,766.0,1303,58.79,0.8099999999999999,1.31,161.73,115,64.0,55.65,1188,702.0,59.089999999999996,8.83
4.0,Saint Paul W-4 P-3,734.0,2321,31.62,1.44,1.25,86.81,1708,475.0,27.810000000000002,613,259.0,42.25,73.59
4.0,Saint Paul W-4 P-4,827.0,1814,45.59,1.12,1.41,125.89,132,30.0,22.73,1682,797.0,47.38,7.28
4.0,Saint Paul W-4 P-5,608.0,1334,45.58,0.83,1.04,125.29999999999998,117,28.0,23.93,1217,580.0,47.660000000000004,8.77
4.0,Saint Paul W-4 P-6,420.0,1468,28.610000000000007,0.91,0.72,79.12,797,120.0,15.06,671,300.0,44.71,54.290000000000006
4.0,Saint Paul W-4 P-7,925.0,1845,50.13999999999999,1.14,1.58,138.6,313,63.0,20.13,1532,862.0,56.269999999999996,16.96
4.0,Saint Paul W-4 P-8,911.0,2209,41.24,1.37,1.55,113.14,298,56.0,18.790000000000003,1911,855.0,44.74,13.489999999999998
4.0,Saint Paul W-4 P-9,593.0,1681,35.28,1.04,1.01,97.12,557,195.0,35.010000000000005,1124,398.0,35.410000000000004,33.14
5.0,Saint Paul W-5 P-1,803.0,2023,39.69,1.25,1.37,109.6,233,50.0,21.46,1790,753.0,42.07,11.52
5.0,Saint Paul W-5 P-10,119.0,641,18.56,0.4,0.2,50.0,79,1.0,1.27,562,118.0,21.0,12.32
5.0,Saint Paul W-5 P-2,1261.0,2472,51.01,1.53,2.15,140.52,174,43.0,24.709999999999997,2298,1218.0,53.0,7.04
5.0,Saint Paul W-5 P-3,876.0,2042,42.9,1.26,1.49,118.25,269,65.0,24.16,1773,811.0,45.739999999999995,13.170000000000002
5.0,Saint Paul W-5 P-4,937.0,3531,26.540000000000006,2.18,1.6,73.39,1018,145.0,14.24,2513,792.0,31.52,28.83
5.0,Saint Paul W-5 P-5,421.0,1848,22.78,1.14,0.72,63.16,536,126.0,23.51,1312,295.0,22.48,28.999999999999996
5.0,Saint Paul W-5 P-6,469.0,1852,25.32,1.15,0.8,69.57,93,7.0,7.53,1759,462.0,26.26,5.0200000000000005
5.0,Saint Paul W-5 P-7,283.0,1166,24.27,0.72,0.48,66.67,39,14.0,35.9,1127,269.0,23.87,3.34
5.0,Saint Paul W-5 P-8,618.0,2379,25.98,1.47,1.05,71.43,486,66.0,13.58,1893,552.0,29.160000000000004,20.43
5.0,Saint Paul W-5 P-9,395.0,1717,23.01,1.06,0.67,63.21,44,5.0,11.360000000000001,1673,390.0,23.31,2.56
6.0,Saint Paul W-6 P-1,482.0,1409,34.21,0.8699999999999999,0.8200000000000001,94.25,59,5.0,8.469999999999999,1350,477.0,35.33,4.19
6.0,Saint Paul W-6 P-10,251.0,995,25.230000000000004,0.62,0.43,69.35,148,40.0,27.029999999999998,847,211.0,24.91,14.87
6.0,Saint Paul W-6 P-11,469.0,1674,28.02,1.04,0.8,76.92,30,7.0,23.330000000000002,1644,462.0,28.1,1.79
6.0,Saint Paul W-6 P-2,554.0,1256,44.11,0.7799999999999999,0.94,120.51,61,17.0,27.87,1195,537.0,44.940000000000005,4.859999999999999
6.0,Saint Paul W-6 P-3,473.0,1558,30.36,0.96,0.8099999999999999,84.38,37,6.0,16.220000000000002,1521,467.0,30.7,2.37
6.0,Saint Paul W-6 P-4,464.0,1920,24.17,1.1900000000000002,0.79,66.39,295,27.0,9.15,1625,437.0,26.889999999999997,15.36
6.0,Saint Paul W-6 P-5,595.0,2128,27.96,1.32,1.01,76.52,69,3.0,4.35,2059,592.0,28.749999999999996,3.2399999999999998
6.0,Saint Paul W-6 P-6,615.0,2493,24.67,1.54,1.05,68.17999999999999,110,11.0,10.0,2383,604.0,25.35,4.41
6.0,Saint Paul W-6 P-7,152.0,640,23.75,0.4,0.26,65.0,163,80.0,49.08,477,72.0,15.09,25.47
6.0,Saint Paul W-6 P-8,363.0,1582,22.95,0.98,0.62,63.27,333,78.0,23.419999999999998,1249,285.0,22.82,21.05
6.0,Saint Paul W-6 P-9,544.0,2318,23.47,1.43,0.93,65.03,230,32.0,13.91,2088,512.0,24.52,9.92
7.0,Saint Paul W-7 P-1,545.0,2129,25.6,1.32,0.93,70.45,231,45.0,19.48,1898,500.0,26.340000000000003,10.85
7.0,Saint Paul W-7 P-10,361.0,1417,25.480000000000004,0.88,0.62,70.45,43,10.0,23.26,1374,351.0,25.55,3.0300000000000002
7.0,Saint Paul W-7 P-11,218.0,1250,17.44,0.77,0.37,48.05,772,91.0,11.790000000000001,478,127.0,26.57,61.760000000000005
7.0,Saint Paul W-7 P-12,716.0,2618,27.35,1.62,1.22,75.31,847,136.0,16.06,1771,580.0,32.75,32.35
7.0,Saint Paul W-7 P-13,606.0,1912,31.69,1.18,1.03,87.29,411,64.0,15.57,1501,542.0,36.11,21.5
7.0,Saint Paul W-7 P-2,288.0,1293,22.27,0.8,0.49,61.25000000000001,31,5.0,16.13,1262,283.0,22.42,2.4
7.0,Saint Paul W-7 P-3,390.0,1473,26.48,0.91,0.66,72.53,18,0.0,0.0,1455,390.0,26.8,1.22
7.0,Saint Paul W-7 P-4,234.0,920,25.430000000000003,0.5700000000000001,0.4,70.17999999999999,116,27.0,23.28,804,207.0,25.75,12.61
7.0,Saint Paul W-7 P-5,486.0,1385,35.09,0.86,0.83,96.51,270,63.0,23.330000000000002,1115,423.0,37.940000000000005,19.49
7.0,Saint Paul W-7 P-7,311.0,1232,25.24,0.76,0.53,69.74000000000001,275,74.0,26.91,957,237.0,24.759999999999998,22.32
7.0,Saint Paul W-7 P-8,458.0,1724,26.57,1.0699999999999998,0.7799999999999999,72.89999999999998,216,23.0,10.65,1508,435.0,28.849999999999998,12.53
7.0,Saint Paul W-7 P-9,357.0,1558,22.91,0.96,0.61,63.54,102,7.0,6.859999999999999,1456,350.0,24.04,6.550000000000001
