WardCode,PrecinctName,Sch_Vote15,Sch_Vote17
1.0,Saint Paul W-1 P-1,2.0,2.0
1.0,Saint Paul W-1 P-10,0.0,0.0
1.0,Saint Paul W-1 P-11,0.0,0.0
1.0,Saint Paul W-1 P-12,2.0,2.0
1.0,Saint Paul W-1 P-13,5.0,3.0
1.0,Saint Paul W-1 P-14,0.0,0.0
1.0,Saint Paul W-1 P-15,0.0,2.0
1.0,Saint Paul W-1 P-16,0.0,0.0
1.0,Saint Paul W-1 P-2,5.0,2.0
1.0,Saint Paul W-1 P-3,3.0,1.0
1.0,Saint Paul W-1 P-4,0.0,0.0
1.0,Saint Paul W-1 P-5,2.0,0.0
1.0,Saint Paul W-1 P-6,1.0,2.0
1.0,Saint Paul W-1 P-7,1.0,3.0
1.0,Saint Paul W-1 P-8,3.0,6.0
1.0,Saint Paul W-1 P-9,3.0,1.0
2.0,Saint Paul W-2 P-1,7.0,3.0
2.0,Saint Paul W-2 P-10,0.0,0.0
2.0,Saint Paul W-2 P-11,15.0,10.0
2.0,Saint Paul W-2 P-12,3.0,0.0
2.0,Saint Paul W-2 P-13,2.0,3.0
2.0,Saint Paul W-2 P-14,3.0,0.0
2.0,Saint Paul W-2 P-15,2.0,1.0
2.0,Saint Paul W-2 P-2,0.0,3.0
2.0,Saint Paul W-2 P-3,2.0,1.0
2.0,Saint Paul W-2 P-4,4.0,3.0
2.0,Saint Paul W-2 P-5,2.0,1.0
2.0,Saint Paul W-2 P-6,1.0,0.0
2.0,Saint Paul W-2 P-7,1.0,4.0
2.0,Saint Paul W-2 P-8,1.0,0.0
2.0,Saint Paul W-2 P-9,6.0,3.0
3.0,Saint Paul W-3 P-1,4.0,3.0
3.0,Saint Paul W-3 P-10,5.0,1.0
3.0,Saint Paul W-3 P-11,2.0,2.0
3.0,Saint Paul W-3 P-12,5.0,4.0
3.0,Saint Paul W-3 P-13,0.0,4.0
3.0,Saint Paul W-3 P-14,2.0,1.0
3.0,Saint Paul W-3 P-2,2.0,1.0
3.0,Saint Paul W-3 P-3,6.0,3.0
3.0,Saint Paul W-3 P-4,2.0,2.0
3.0,Saint Paul W-3 P-5,9.0,2.0
3.0,Saint Paul W-3 P-6,2.0,1.0
3.0,Saint Paul W-3 P-7,4.0,1.0
3.0,Saint Paul W-3 P-8,2.0,0.0
3.0,Saint Paul W-3 P-9,4.0,0.0
4.0,Saint Paul W-4 P-1,5.0,5.0
4.0,Saint Paul W-4 P-10,4.0,1.0
4.0,Saint Paul W-4 P-11,2.0,2.0
4.0,Saint Paul W-4 P-12,12.0,6.0
4.0,Saint Paul W-4 P-13,0.0,4.0
4.0,Saint Paul W-4 P-14,1.0,2.0
4.0,Saint Paul W-4 P-15,0.0,2.0
4.0,Saint Paul W-4 P-2,4.0,6.0
4.0,Saint Paul W-4 P-3,4.0,8.0
4.0,Saint Paul W-4 P-4,2.0,1.0
4.0,Saint Paul W-4 P-5,5.0,0.0
4.0,Saint Paul W-4 P-6,2.0,4.0
4.0,Saint Paul W-4 P-7,1.0,2.0
4.0,Saint Paul W-4 P-8,1.0,3.0
4.0,Saint Paul W-4 P-9,4.0,1.0
5.0,Saint Paul W-5 P-1,2.0,4.0
5.0,Saint Paul W-5 P-10,0.0,1.0
5.0,Saint Paul W-5 P-2,3.0,5.0
5.0,Saint Paul W-5 P-3,2.0,2.0
5.0,Saint Paul W-5 P-4,3.0,4.0
5.0,Saint Paul W-5 P-5,3.0,1.0
5.0,Saint Paul W-5 P-6,1.0,0.0
5.0,Saint Paul W-5 P-7,0.0,0.0
5.0,Saint Paul W-5 P-8,1.0,1.0
5.0,Saint Paul W-5 P-9,1.0,0.0
6.0,Saint Paul W-6 P-1,0.0,1.0
6.0,Saint Paul W-6 P-10,1.0,3.0
6.0,Saint Paul W-6 P-11,1.0,3.0
6.0,Saint Paul W-6 P-12,0.0,2.0
6.0,Saint Paul W-6 P-2,0.0,2.0
6.0,Saint Paul W-6 P-3,0.0,0.0
6.0,Saint Paul W-6 P-4,0.0,2.0
6.0,Saint Paul W-6 P-5,2.0,1.0
6.0,Saint Paul W-6 P-6,1.0,0.0
6.0,Saint Paul W-6 P-7,0.0,0.0
6.0,Saint Paul W-6 P-8,2.0,0.0
6.0,Saint Paul W-6 P-9,0.0,0.0
7.0,Saint Paul W-7 P-1,3.0,5.0
7.0,Saint Paul W-7 P-10,0.0,2.0
7.0,Saint Paul W-7 P-11,1.0,2.0
7.0,Saint Paul W-7 P-12,0.0,2.0
7.0,Saint Paul W-7 P-13,0.0,2.0
7.0,Saint Paul W-7 P-2,2.0,2.0
7.0,Saint Paul W-7 P-3,3.0,2.0
7.0,Saint Paul W-7 P-4,0.0,0.0
7.0,Saint Paul W-7 P-5,1.0,0.0
7.0,Saint Paul W-7 P-6,1.0,0.0
7.0,Saint Paul W-7 P-7,1.0,0.0
7.0,Saint Paul W-7 P-8,0.0,1.0
7.0,Saint Paul W-7 P-9,0.0,3.0
